frame,xmin,xmax,ymin,ymax,class_id
0004_00000036.jpg,66,143,41,101,4
0004_00000193.jpg,135,203,14,119,4
0004_00000135.jpg,70,167,53,145,4
0004_00000114.jpg,129,208,53,136,4
0004_00000124.jpg,145,235,50,139,4
0004_00000125.jpg,145,235,50,139,4
0004_00000146.jpg,24,120,56,148,4
0004_00000118.jpg,152,231,54,137,4
0004_00000241.jpg,144,215,48,117,4
0004_00000136.jpg,69,166,52,144,4
0004_00000122.jpg,150,239,50,139,4
0004_00000166.jpg,136,229,53,141,4
0004_00000152.jpg,50,143,62,151,4
0004_00000227.jpg,145,245,30,123,4
0004_00000109.jpg,128,211,49,136,4
0004_00000113.jpg,128,207,50,133,4
0004_00000181.jpg,158,226,20,124,4
0004_00000024.jpg,85,166,36,99,4
0004_00000017.jpg,96,176,29,92,4
0004_00000120.jpg,151,241,52,140,4
0004_00000164.jpg,139,231,58,147,4
0004_00000080.jpg,187,241,112,162,4
0004_00000013.jpg,84,164,26,89,4
0004_00000172.jpg,156,225,25,129,4
0004_00000178.jpg,147,215,25,129,4
0004_00000130.jpg,52,148,53,152,4
0004_00000041.jpg,66,143,36,96,4
0004_00000059.jpg,164,218,109,159,4
0004_00000110.jpg,125,208,48,135,4
0004_00000039.jpg,69,145,40,100,4
0004_00000196.jpg,125,191,16,115,4
0004_00000037.jpg,68,144,40,100,4
0004_00000150.jpg,34,127,61,150,4
0004_00000138.jpg,69,166,48,140,4
0004_00000007.jpg,60,140,30,93,4
0004_00000047.jpg,143,206,109,159,4
0004_00000086.jpg,155,234,56,139,4
0004_00000214.jpg,76,176,54,119,4
0004_00000175.jpg,145,214,26,131,4
0004_00000068.jpg,172,226,112,162,4
0004_00000077.jpg,180,234,101,151,4
0004_00000083.jpg,188,242,116,166,4
0004_00000057.jpg,155,218,108,158,4
0004_00000000.jpg,88,168,45,108,4
0004_00000073.jpg,178,231,113,163,4
0004_00000097.jpg,148,227,53,136,4
0004_00000063.jpg,168,222,109,159,4
0004_00000161.jpg,113,206,60,148,4
0004_00000049.jpg,145,208,109,159,4
0004_00000157.jpg,91,183,58,147,4
0004_00000190.jpg,147,215,14,119,4
0004_00000069.jpg,174,227,111,160,4
0004_00000204.jpg,101,179,13,108,4
0004_00000031.jpg,77,154,41,101,4
0004_00000032.jpg,72,148,42,103,4
0004_00000055.jpg,154,216,108,158,4
0004_00000098.jpg,147,226,53,136,4
0004_00000050.jpg,144,207,111,160,4
0004_00000071.jpg,175,229,111,160,4
0004_00000144.jpg,61,158,53,145,4
0004_00000002.jpg,70,151,41,104,4
0004_00000016.jpg,93,174,28,91,4
0004_00000065.jpg,170,223,111,160,4
0004_00000127.jpg,30,127,49,148,4
0004_00000084.jpg,156,235,54,137,4
0004_00000054.jpg,154,216,107,156,4
0004_00000171.jpg,158,226,26,131,4
0004_00000015.jpg,93,174,28,91,4
0004_00000179.jpg,151,219,24,128,4
0004_00000035.jpg,68,144,42,103,4
0004_00000003.jpg,66,147,36,99,4
0004_00000202.jpg,112,174,14,109,4
0004_00000101.jpg,141,220,56,139,4
0004_00000023.jpg,85,166,34,97,4
0004_00000188.jpg,155,223,14,119,4
0004_00000131.jpg,58,155,54,154,4
0004_00000111.jpg,129,208,48,131,4
0004_00000089.jpg,147,226,57,140,4
0004_00000205.jpg,101,179,13,108,4
0004_00000199.jpg,121,183,17,112,4
0004_00000034.jpg,62,139,41,101,4
