frame,xmin,xmax,ymin,ymax,class_id
0010_00000043.jpg,93,155,77,164,10
0010_00000070.jpg,34,107,70,154,10
0010_00000065.jpg,10,83,75,158,10
0010_00000002.jpg,42,112,50,121,10
0010_00000067.jpg,29,101,73,156,10
0010_00000045.jpg,89,151,72,160,10
0010_00000017.jpg,41,109,87,168,10
0010_00000024.jpg,58,119,73,162,10
0010_00000084.jpg,158,263,65,159,10
0010_00000013.jpg,32,115,83,163,10
0010_00000056.jpg,17,89,52,135,10
0010_00000046.jpg,68,129,65,156,10
0010_00000075.jpg,91,188,5,77,10
0010_00000020.jpg,48,108,84,172,10
0010_00000061.jpg,13,85,66,150,10
0010_00000006.jpg,37,112,66,139,10
0010_00000074.jpg,36,115,54,159,10
0010_00000019.jpg,61,129,87,174,10
0010_00000004.jpg,37,103,56,123,10
0010_00000009.jpg,33,112,77,154,10
0010_00000049.jpg,22,88,60,151,10
0010_00000003.jpg,40,109,53,124,10
0010_00000089.jpg,109,196,84,178,10
0010_00000032.jpg,88,151,119,203,10
0010_00000080.jpg,163,239,50,144,10
0010_00000059.jpg,8,80,62,145,10
0010_00000035.jpg,92,155,104,188,10
0010_00000012.jpg,28,107,77,154,10
0010_00000081.jpg,183,289,65,159,10
0010_00000011.jpg,28,107,70,147,10
0010_00000033.jpg,95,158,119,203,10
0010_00000071.jpg,172,249,33,117,10
0010_00000005.jpg,41,116,62,135,10
0010_00000054.jpg,21,93,48,131,10
0010_00000086.jpg,144,259,53,135,10
0010_00000038.jpg,62,124,84,158,10
0010_00000010.jpg,32,111,72,148,10
0010_00000041.jpg,60,121,87,167,10
0010_00000040.jpg,53,115,84,164,10
0010_00000068.jpg,28,100,73,156,10
0010_00000093.jpg,13,104,40,128,10
0010_00000063.jpg,9,81,70,154,10
0010_00000014.jpg,40,123,85,166,10
0010_00000037.jpg,58,121,91,175,10
0010_00000085.jpg,174,279,92,206,10
0010_00000027.jpg,81,141,85,174,10
0010_00000052.jpg,28,93,61,143,10
0010_00000082.jpg,171,277,73,167,10
0010_00000048.jpg,33,99,62,154,10
0010_00000034.jpg,99,162,112,196,10
0010_00000062.jpg,13,85,69,152,10
0010_00000029.jpg,92,155,93,186,10
0010_00000073.jpg,162,243,36,113,10
0010_00000023.jpg,52,112,69,158,10
0010_00000026.jpg,76,136,84,172,10
0010_00000031.jpg,75,137,115,199,10
0010_00000016.jpg,30,99,85,164,10
0010_00000047.jpg,52,117,66,158,10
0010_00000015.jpg,37,105,85,159,10
0010_00000036.jpg,83,145,97,182,10
0010_00000008.jpg,30,109,69,145,10
0010_00000050.jpg,13,79,64,155,10
0010_00000060.jpg,8,80,61,144,10
0010_00000072.jpg,174,250,37,121,10
0010_00000030.jpg,68,131,107,199,10
0010_00000154.jpg,36,121,56,145,10
0010_00000134.jpg,168,262,28,127,10
0010_00000110.jpg,83,172,26,144,10
0010_00000147.jpg,70,154,61,154,10
0010_00000180.jpg,95,164,75,154,10
0010_00000113.jpg,56,200,48,141,10
0010_00000155.jpg,111,183,66,162,10
0010_00000101.jpg,34,159,42,183,10
0010_00000124.jpg,45,112,33,124,10
0010_00000151.jpg,65,247,77,231,10
0010_00000115.jpg,45,241,57,233,10
0010_00000146.jpg,41,116,34,117,10
0010_00000168.jpg,66,148,83,178,10
0010_00000142.jpg,44,128,10,91,10
0010_00000156.jpg,61,155,76,164,10
0010_00000111.jpg,10,92,18,115,10
0010_00000184.jpg,159,219,89,140,10
0010_00000132.jpg,85,235,17,128,10
0010_00000181.jpg,88,204,93,229,10
0010_00000138.jpg,77,151,75,190,10
0010_00000120.jpg,38,166,40,116,10
0010_00000096.jpg,81,281,44,208,10
0010_00000103.jpg,64,137,42,143,10
0010_00000112.jpg,77,187,36,129,10
0010_00000145.jpg,140,200,29,95,10
0010_00000148.jpg,124,216,34,97,10
0010_00000150.jpg,66,160,40,132,10
0010_00000177.jpg,139,262,0,81,10
0010_00000095.jpg,48,127,68,151,10
0010_00000159.jpg,100,170,88,158,10
0010_00000118.jpg,148,246,18,88,10
0010_00000186.jpg,76,207,32,202,10
0010_00000100.jpg,88,180,30,95,10
0010_00000169.jpg,70,148,93,167,10
0010_00000136.jpg,164,227,40,128,10
0010_00000165.jpg,125,192,79,168,10
0010_00000170.jpg,124,196,77,167,10
0010_00000178.jpg,99,175,87,163,10
0010_00000141.jpg,172,249,76,199,10
0010_00000185.jpg,151,186,147,192,10
0010_00000125.jpg,44,111,32,123,10
0010_00000129.jpg,144,239,25,100,10
0010_00000122.jpg,113,168,68,125,10
0010_00000152.jpg,56,127,72,147,10
0010_00000137.jpg,160,208,79,136,10
0010_00000126.jpg,183,258,9,81,10
0010_00000130.jpg,159,270,24,123,10
0010_00000172.jpg,58,92,99,133,10
0010_00000175.jpg,104,180,109,184,10
0010_00000160.jpg,28,202,16,226,10
0010_00000174.jpg,117,203,21,132,10
0010_00000161.jpg,62,132,116,184,10
0010_00000094.jpg,58,154,96,199,10
0010_00000183.jpg,160,231,101,192,10
0010_00000166.jpg,68,148,83,174,10
0010_00000135.jpg,200,285,160,226,10
0010_00000158.jpg,123,215,16,108,10
0010_00000117.jpg,41,113,29,123,10
0010_00000179.jpg,179,222,56,101,10
0010_00000106.jpg,96,164,75,162,10
0010_00000140.jpg,131,231,49,147,10
0010_00000149.jpg,42,154,5,93,10
0010_00000123.jpg,91,194,81,192,10
0010_00000107.jpg,87,145,80,163,10
0010_00000162.jpg,124,196,113,219,10
